Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
0.95,0.0006683383383,999.8811812,4.210024024,55.31641642,13.15645646,1742.646647,1.743552553,-0.5048548549,755.0074074,13.27950951
0.96,0.000668958959,999.880981,4.210003003,55.31871872,13.15705706,1742.164164,1.743069069,-0.5035235235,754.9925926,13.27535536
0.97,0.0006695795796,999.8807808,4.209981982,55.32102102,13.15765766,1741.681682,1.742585586,-0.5021921922,754.9777778,13.2712012
0.98,0.0006702002002,999.8805806,4.209960961,55.32332332,13.15825826,1741.199199,1.742102102,-0.5008608609,754.962963,13.26704705
0.99,0.0006708208208,999.8803804,4.20993994,55.32562563,13.15885886,1740.716717,1.741618619,-0.4995295295,754.9481481,13.26289289
1,0.0006714414414,999.8801802,4.209918919,55.32792793,13.15945946,1740.234234,1.741135135,-0.4981981982,754.9333333,13.25873874
1.01,0.0006720620621,999.87998,4.209897898,55.33023023,13.16006006,1739.751752,1.740651652,-0.4968668669,754.9185185,13.25458458
1.02,0.0006726826827,999.8797798,4.209876877,55.33253253,13.16066066,1739.269269,1.740168168,-0.4955355355,754.9037037,13.25043043
1.03,0.0006733033033,999.8795796,4.209855856,55.33483483,13.16126126,1738.786787,1.739684685,-0.4942042042,754.8888889,13.24627628
1.04,0.0006739239239,999.8793794,4.209834835,55.33713714,13.16186186,1738.304304,1.739201201,-0.4928728729,754.8740741,13.24212212
1.05,0.0006745445445,999.8791792,4.209813814,55.33943944,13.16246246,1737.821822,1.738717718,-0.4915415415,754.8592593,13.23796797
1.06,0.0006751651652,999.878979,4.209792793,55.34174174,13.16306306,1737.339339,1.738234234,-0.4902102102,754.8444444,13.23381381
1.07,0.0006757857858,999.8787788,4.209771772,55.34404404,13.16366366,1736.856857,1.737750751,-0.4888788789,754.8296296,13.22965966
1.08,0.0006764064064,999.8785786,4.209750751,55.34634635,13.16426426,1736.374374,1.737267267,-0.4875475475,754.8148148,13.22550551
1.09,0.000677027027,999.8783784,4.20972973,55.34864865,13.16486486,1735.891892,1.736783784,-0.4862162162,754.8,13.22135135
1.1,0.0006776476476,999.8781782,4.209708709,55.35095095,13.16546547,1735.409409,1.7363003,-0.4848848849,754.7851852,13.2171972
1.11,0.0006782682683,999.877978,4.209687688,55.35325325,13.16606607,1734.926927,1.735816817,-0.4835535536,754.7703704,13.21304304
1.12,0.0006788888889,999.8777778,4.209666667,55.35555556,13.16666667,1734.444444,1.735333333,-0.4822222222,754.7555556,13.20888889
